 week_start_date | week_end_date | items_sold_count
-----------------+---------------+------------------
 2023-01-01      | 2023-01-07    |              577
 2023-01-08      | 2023-01-14    |              585
 2023-01-15      | 2023-01-21    |              598
 2023-01-22      | 2023-01-28    |              605
 2023-01-29      | 2023-02-04    |              542
 2023-02-05      | 2023-02-11    |              560
 2023-02-12      | 2023-02-18    |              340
 2023-02-19      | 2023-02-25    |              522
 2023-02-26      | 2023-03-04    |              542
 2023-03-05      | 2023-03-11    |              658
 2023-03-12      | 2023-03-18    |              559
 2023-03-19      | 2023-03-25    |              815
 2023-03-26      | 2023-04-01    |              588
 2023-04-02      | 2023-04-08    |              770
 2023-04-09      | 2023-04-15    |              341
 2023-04-16      | 2023-04-22    |              620
 2023-04-23      | 2023-04-29    |              498
 2023-04-30      | 2023-05-06    |              624
 2023-05-07      | 2023-05-13    |              635
 2023-05-14      | 2023-05-20    |              548
 2023-05-21      | 2023-05-27    |              476
 2023-05-28      | 2023-06-03    |              641
 2023-06-04      | 2023-06-10    |              703
 2023-06-11      | 2023-06-17    |              693
 2023-06-18      | 2023-06-24    |              576
 2023-06-25      | 2023-07-01    |              748
 2023-07-02      | 2023-07-08    |              551
 2023-07-09      | 2023-07-15    |              477
 2023-07-16      | 2023-07-22    |              652
 2023-07-23      | 2023-07-29    |              670
 2023-07-30      | 2023-08-05    |              886
 2023-08-06      | 2023-08-12    |              817
 2023-08-13      | 2023-08-19    |              738
 2023-08-20      | 2023-08-26    |              598
 2023-08-27      | 2023-09-02    |              842
 2023-09-03      | 2023-09-09    |              738
 2023-09-10      | 2023-09-16    |              720
 2023-09-17      | 2023-09-23    |              435
 2023-09-24      | 2023-09-30    |              566
 2023-10-01      | 2023-10-07    |              556
 2023-10-08      | 2023-10-14    |              806
 2023-10-15      | 2023-10-21    |              621
 2023-10-22      | 2023-10-28    |              685
 2023-10-29      | 2023-11-04    |              658
 2023-11-05      | 2023-11-11    |              605
 2023-11-12      | 2023-11-18    |              495
 2023-11-19      | 2023-11-25    |              639
 2023-11-26      | 2023-12-02    |              592
 2023-12-03      | 2023-12-09    |              577
 2023-12-10      | 2023-12-16    |              564
 2023-12-17      | 2023-12-23    |              548
 2023-12-24      | 2023-12-30    |              493
 2023-12-31      | 2024-01-06    |              155
