 week_start_date | week_end_date | average_order_cost
-----------------+---------------+--------------------
 2023-01-01      | 2023-01-07    |              13.15
 2023-01-08      | 2023-01-14    |              13.20
 2023-01-15      | 2023-01-21    |              13.19
 2023-01-22      | 2023-01-28    |              13.05
 2023-01-29      | 2023-02-04    |              13.67
 2023-02-05      | 2023-02-11    |              13.26
 2023-02-12      | 2023-02-18    |              13.45
 2023-02-19      | 2023-02-25    |              13.15
 2023-02-26      | 2023-03-04    |              13.14
 2023-03-05      | 2023-03-11    |              13.45
 2023-03-12      | 2023-03-18    |              13.76
 2023-03-19      | 2023-03-25    |              13.29
 2023-03-26      | 2023-04-01    |              13.18
 2023-04-02      | 2023-04-08    |              13.81
 2023-04-09      | 2023-04-15    |              13.35
 2023-04-16      | 2023-04-22    |              13.31
 2023-04-23      | 2023-04-29    |              13.30
 2023-04-30      | 2023-05-06    |              13.28
 2023-05-07      | 2023-05-13    |              13.37
 2023-05-14      | 2023-05-20    |              13.47
 2023-05-21      | 2023-05-27    |              13.67
 2023-05-28      | 2023-06-03    |              13.27
 2023-06-04      | 2023-06-10    |              13.41
 2023-06-11      | 2023-06-17    |              13.39
 2023-06-18      | 2023-06-24    |              13.34
 2023-06-25      | 2023-07-01    |              13.24
 2023-07-02      | 2023-07-08    |              13.28
 2023-07-09      | 2023-07-15    |              13.20
 2023-07-16      | 2023-07-22    |              13.14
 2023-07-23      | 2023-07-29    |              13.56
 2023-07-30      | 2023-08-05    |              13.13
 2023-08-06      | 2023-08-12    |              12.96
 2023-08-13      | 2023-08-19    |              13.12
 2023-08-20      | 2023-08-26    |              13.50
 2023-08-27      | 2023-09-02    |              13.65
 2023-09-03      | 2023-09-09    |              13.48
 2023-09-10      | 2023-09-16    |              13.40
 2023-09-17      | 2023-09-23    |              13.74
 2023-09-24      | 2023-09-30    |              13.37
 2023-10-01      | 2023-10-07    |              13.29
 2023-10-08      | 2023-10-14    |              13.23
 2023-10-15      | 2023-10-21    |              13.44
 2023-10-22      | 2023-10-28    |              13.24
 2023-10-29      | 2023-11-04    |              13.53
 2023-11-05      | 2023-11-11    |              13.21
 2023-11-12      | 2023-11-18    |              13.22
 2023-11-19      | 2023-11-25    |              13.18
 2023-11-26      | 2023-12-02    |              13.45
 2023-12-03      | 2023-12-09    |              13.36
 2023-12-10      | 2023-12-16    |              13.40
 2023-12-17      | 2023-12-23    |              13.44
 2023-12-24      | 2023-12-30    |              13.38
 2023-12-31      | 2024-01-06    |              13.53
