OrderID,ItemName,Quantity
1,Rosehip Milk Tea,2
1,Coffee Milk Tea,3
1,Honey Milk Tea,2
1,Thai Milk Tea,3
1,Coconut Milk Tea,3
2,Coffee Milk Tea,2
2,Taro Milk Tea,1
2,Coconut Milk Tea,2
2,Almond Milk Tea,1
3,Green Tea,3
3,Rosehip Milk Tea,1
3,Taro Milk Tea,2
3,Honey Milk Tea,2
3,Coconut Milk Tea,3
4,Rosehip Milk Tea,2
4,Taro Milk Tea,1
4,Honey Milk Tea,2
4,Thai Milk Tea,1
5,Rosehip Milk Tea,3
5,Coffee Milk Tea,3
5,Taro Milk Tea,3
5,Honey Milk Tea,1
6,Honey Milk Tea,1
6,Thai Milk Tea,3
6,Coconut Milk Tea,1
7,Green Tea,3
7,Rosehip Milk Tea,2
7,Coffee Milk Tea,1
7,Taro Milk Tea,2
7,Honey Milk Tea,3
7,Coconut Milk Tea,3
7,Almond Milk Tea,2
8,Green Tea,2
8,Honey Milk Tea,2
9,Green Tea,1
9,Honey Milk Tea,3
9,Coconut Milk Tea,1
10,Coffee Milk Tea,1
10,Taro Milk Tea,1
10,Honey Milk Tea,2
10,Thai Milk Tea,3
11,Taro Milk Tea,3
11,Thai Milk Tea,1
11,Almond Milk Tea,2
12,Green Tea,1
12,Rosehip Milk Tea,3
12,Coffee Milk Tea,3
12,Taro Milk Tea,1
12,Coconut Milk Tea,3
13,Green Tea,1
13,Honey Milk Tea,1
13,Coconut Milk Tea,3
14,Coffee Milk Tea,1
14,Taro Milk Tea,3
14,Thai Milk Tea,2
14,Coconut Milk Tea,3
15,Green Tea,2
15,Rosehip Milk Tea,1
15,Coffee Milk Tea,1
15,Taro Milk Tea,3
15,Coconut Milk Tea,3
16,Green Tea,1
16,Rosehip Milk Tea,2
16,Coffee Milk Tea,1
17,Thai Milk Tea,1
17,Coconut Milk Tea,3
18,Taro Milk Tea,2
18,Thai Milk Tea,2
18,Almond Milk Tea,3
19,Coffee Milk Tea,2
19,Coconut Milk Tea,3
20,Green Tea,3
20,Rosehip Milk Tea,3
20,Coffee Milk Tea,1
20,Taro Milk Tea,3
21,Rosehip Milk Tea,1
21,Coffee Milk Tea,1
21,Almond Milk Tea,1
22,Taro Milk Tea,3
22,Thai Milk Tea,1
22,Coconut Milk Tea,1
22,Almond Milk Tea,1
23,Green Tea,3
23,Taro Milk Tea,2
23,Thai Milk Tea,2
23,Coconut Milk Tea,2
23,Almond Milk Tea,3
24,Coffee Milk Tea,3
24,Taro Milk Tea,2
24,Honey Milk Tea,2
24,Thai Milk Tea,3
24,Almond Milk Tea,1
25,Coffee Milk Tea,3
25,Taro Milk Tea,3
25,Honey Milk Tea,2
25,Coconut Milk Tea,3
25,Almond Milk Tea,2
26,Green Tea,1
26,Rosehip Milk Tea,3
26,Coffee Milk Tea,3
26,Thai Milk Tea,3
27,Coffee Milk Tea,1
27,Taro Milk Tea,3
27,Almond Milk Tea,3
28,Green Tea,3
28,Honey Milk Tea,2
28,Thai Milk Tea,3
28,Almond Milk Tea,1
30,Honey Milk Tea,1
30,Coconut Milk Tea,3
31,Coffee Milk Tea,1
31,Thai Milk Tea,1
31,Coconut Milk Tea,1
31,Almond Milk Tea,2
32,Taro Milk Tea,1
